,Unnamed: 0,Age,Employment Type,GraduateOrNot,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad,TravelInsurance
2,2,34,1,1,500000,4,1,0,0,1
7,7,31,1,1,1350000,3,0,1,1,1
8,8,28,1,1,1450000,6,1,1,1,1
11,11,26,1,1,1400000,5,0,1,1,1
12,12,32,0,1,850000,6,0,0,0,1
13,13,31,0,1,1500000,6,0,1,1,1
17,17,28,1,1,800000,7,0,0,0,1
18,18,29,1,1,1050000,5,1,0,0,1
19,19,34,1,1,1500000,2,0,1,1,1
21,21,29,1,1,350000,3,0,0,0,1
23,23,28,0,1,600000,9,0,0,0,1
26,26,34,1,0,1300000,6,0,1,0,1
32,32,25,0,1,750000,4,0,0,0,1
34,34,28,1,1,800000,9,0,0,0,1
39,39,33,1,1,1500000,5,1,1,1,1
40,40,25,1,1,1400000,3,1,1,1,1
42,42,26,1,1,1500000,2,1,1,1,1
43,43,28,1,1,1200000,4,0,1,0,1
44,44,25,1,1,1400000,7,0,0,1,1
45,45,34,1,0,1400000,5,1,0,1,1
46,46,25,1,1,1400000,4,0,0,1,1
49,49,31,1,1,1350000,3,0,0,1,1
56,56,28,1,1,550000,3,0,0,0,1
57,57,34,1,1,1000000,6,0,0,0,1
58,58,33,1,1,1400000,6,0,1,1,1
59,59,33,1,1,1400000,9,0,1,1,1
61,61,32,0,1,800000,3,0,1,0,1
64,64,30,1,0,1450000,9,0,1,1,1
67,67,34,1,1,1500000,3,0,1,1,1
76,76,29,1,1,1200000,3,0,0,0,1
78,78,31,0,1,1300000,3,0,0,1,1
83,83,34,1,0,950000,4,0,1,0,1
85,85,25,1,0,1700000,4,0,1,0,1
93,93,33,0,1,700000,7,0,1,0,1
95,95,26,1,1,1400000,5,0,0,1,1
100,100,28,1,1,1300000,6,1,0,0,1
101,101,33,1,1,1500000,3,1,1,1,1
103,103,26,1,1,1400000,5,0,0,1,1
108,108,26,1,1,1300000,4,0,0,0,1
109,109,25,1,1,1700000,3,0,1,0,1
116,116,28,1,1,1150000,5,0,0,0,1
118,118,31,0,1,1500000,4,1,1,1,1
121,121,26,1,1,1400000,6,0,0,1,1
125,125,29,1,1,500000,3,1,0,0,1
128,128,31,1,1,1350000,8,0,0,1,1
133,133,25,1,1,1750000,4,0,0,1,1
135,135,28,1,1,800000,6,0,0,1,1
136,136,29,1,1,500000,6,0,0,0,1
139,139,35,1,0,800000,7,1,0,0,1
146,146,30,1,0,750000,3,1,0,0,1
148,148,25,1,1,1400000,4,0,0,1,1
150,150,28,1,1,650000,2,1,0,0,1
151,151,29,1,1,1200000,7,0,0,0,1
155,155,34,1,1,1300000,6,0,0,0,1
158,158,31,1,1,1250000,6,0,1,0,1
160,160,31,0,1,1200000,5,1,0,0,1
161,161,34,1,0,1400000,3,1,0,1,1
162,162,34,1,1,500000,7,0,0,0,1
170,170,31,1,1,1350000,6,1,0,1,1
173,173,26,1,1,450000,5,1,0,0,1
174,174,34,1,1,700000,6,0,1,0,1
176,176,34,1,1,1050000,6,0,0,0,1
182,182,35,1,0,800000,3,0,1,0,1
185,185,28,0,1,300000,4,0,0,0,1
186,186,28,1,1,500000,9,0,0,0,1
189,189,26,1,1,1400000,7,1,0,1,1
195,195,25,1,1,1400000,5,0,1,1,1
196,196,34,1,1,1000000,7,0,0,0,1
198,198,25,1,0,1350000,4,0,0,1,1
199,199,30,1,0,1450000,5,0,1,1,1
200,200,27,0,1,1050000,4,0,0,0,1
201,201,31,1,1,1400000,2,0,0,1,1
202,202,28,1,1,600000,7,0,0,0,1
206,206,25,1,0,1150000,5,1,0,0,1
208,208,29,1,1,1350000,4,0,0,1,1
213,213,26,1,1,1400000,5,0,1,1,1
216,216,34,1,1,1050000,8,0,0,0,1
226,226,34,0,1,1300000,9,1,0,0,1
236,236,26,1,1,1500000,5,0,1,1,1
241,241,35,1,0,800000,6,0,0,0,1
247,247,27,0,1,1050000,3,0,1,0,1
248,248,34,0,1,1300000,6,0,0,0,1
250,250,34,1,1,1000000,6,1,0,0,1
252,252,29,1,1,1350000,5,1,0,1,1
253,253,28,1,1,1400000,2,0,0,1,1
255,255,34,1,1,1500000,5,0,1,1,1
256,256,34,0,1,1300000,7,1,0,1,1
257,257,33,1,1,550000,5,0,0,0,1
259,259,33,0,1,400000,3,1,0,0,1
260,260,26,1,1,1400000,3,1,0,1,1
261,261,28,1,1,1100000,4,1,0,0,1
267,267,33,0,1,1100000,4,0,0,0,1
268,268,34,1,1,500000,6,0,0,0,1
270,270,34,0,1,1300000,6,0,0,1,1
273,273,34,1,1,1000000,6,0,1,0,1
274,274,32,0,1,850000,7,0,0,0,1
275,275,26,1,1,1400000,4,1,0,1,1
278,278,32,0,1,800000,5,1,0,0,1
282,282,26,1,1,1400000,4,0,0,1,1
284,284,28,1,1,750000,3,0,0,0,1
293,293,31,1,1,1250000,3,0,0,0,1
297,297,35,1,0,800000,7,1,0,0,1
298,298,25,1,0,1700000,4,0,1,0,1
300,300,32,0,1,900000,5,1,0,0,1
302,302,34,1,1,700000,6,0,0,0,1
306,306,33,0,1,650000,5,1,0,0,1
309,309,33,0,1,650000,4,0,0,0,1
311,311,34,1,1,1500000,7,0,1,1,1
313,313,25,1,0,1150000,4,0,0,0,1
314,314,26,1,1,1400000,5,0,0,1,1
317,317,32,0,1,800000,6,0,0,0,1
318,318,34,0,1,1100000,3,0,0,0,1
319,319,25,1,1,1700000,2,1,1,0,1
323,323,33,1,1,1400000,5,0,0,1,1
328,328,34,1,1,700000,6,0,1,1,1
331,331,33,1,1,550000,4,0,0,0,1
332,332,31,1,1,1650000,7,1,1,0,1
334,334,29,1,1,1050000,3,0,0,0,1
335,335,28,1,1,800000,2,0,0,0,1
342,342,28,1,1,1100000,2,0,0,0,1
346,346,25,1,1,1800000,7,1,1,0,1
352,352,31,1,1,1350000,6,0,0,1,1
354,354,25,1,0,1150000,5,0,0,0,1
355,355,28,1,1,1400000,3,0,0,1,1
361,361,29,1,1,1350000,4,0,0,1,1
365,365,25,1,0,1700000,3,0,1,0,1
368,368,35,1,0,800000,3,0,0,0,1
370,370,31,0,1,1300000,6,0,0,0,1
377,377,27,1,0,1550000,4,0,1,0,1
378,378,25,1,1,1700000,5,0,1,0,1
379,379,27,1,0,1550000,6,0,1,0,1
382,382,31,1,1,1400000,6,0,0,1,1
386,386,28,1,1,1350000,5,0,0,1,1
389,389,31,1,1,1350000,5,0,0,1,1
390,390,33,1,1,550000,5,0,0,0,1
391,391,28,0,1,1200000,5,0,0,0,1
392,392,31,1,1,950000,4,1,0,0,1
394,394,28,1,1,1200000,4,0,0,0,1
396,396,33,0,1,650000,6,1,0,0,1
404,404,33,0,1,650000,5,1,0,0,1
406,406,28,1,1,1200000,9,0,0,0,1
407,407,25,1,0,1700000,6,0,1,0,1
413,413,25,1,1,1700000,5,0,1,0,1
414,414,33,1,1,1400000,4,0,0,1,1
416,416,31,1,1,1400000,7,0,0,1,1
417,417,31,1,1,1400000,3,0,1,1,1
422,422,34,1,1,1500000,7,1,1,1,1
423,423,25,1,1,1400000,5,0,0,1,1
